code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
BER_ZEIT-031;Studienjahr 2003/04;;academic year 2003/04;;;;;;
BER_ZEIT-041;Studienjahr 2004/05;;academic year 2004/05;;;;;;
BER_ZEIT-051;Studienjahr 2005/06;;academic year 2005/06;;;;;;
BER_ZEIT-061;Studienjahr 2006/07;;academic year 2006/07;;;;;;
BER_ZEIT-071;Studienjahr 2007/08;;academic year 2007/08;;;;;;
BER_ZEIT-081;Studienjahr 2008/09;;academic year 2008/09;;;;;;
BER_ZEIT-091;Studienjahr 2009/10;;academic year 2009/10;;;;;;
BER_ZEIT-101;Studienjahr 2010/11;;academic year 2010/11;;;;;;
BER_ZEIT-111;Studienjahr 2011/12;;academic year 2011/12;;;;;;
BER_ZEIT-121;Studienjahr 2012/13;;academic year 2012/13;;;;;;
BER_ZEIT-131;Studienjahr 2013/14;;academic year 2013/14;;;;;;
BER_ZEIT-141;Studienjahr 2014/15;;academic year 2014/15;;;;;;
BER_ZEIT-151;Studienjahr 2015/16;;academic year 2015/16;;;;;;
BER_ZEIT-161;Studienjahr 2016/17;;academic year 2016/17;;;;;;
BER_ZEIT-171;Studienjahr 2017/18;;academic year 2017/18;;;;;;
BER_ZEIT-181;Studienjahr 2018/19;;academic year 2018/19;;;;;;
